SubstitutionRate,Theta
0.00056009 ,35.84576
0.00051389 ,32.888960000000004
0.00027693 ,17.72352
0.00055394 ,35.452160000000006
0.00043554 ,27.874560000000002
8.05550575e-05 ,5.15552368
0.00066092 ,42.29888
0.0005527 ,35.372800000000005
0.00026306 ,16.83584
0.00019869 ,12.71616
0.00042154 ,26.978559999999998
0.00021905 ,14.019200000000001
0.00068957 ,44.13248
0.00018056 ,11.55584
0.00041875 ,26.8
0.00048517 ,31.05088
0.00017769 ,11.372160000000001
0.00015701 ,10.048639999999999
0.00075268 ,48.17152
0.00048882 ,31.284480000000006
0.00069781 ,44.659839999999996
0.00026318 ,16.84352
0.00019824 ,12.687360000000002
0.00031917 ,20.42688
0.0005667 ,36.2688
0.00011078 ,7.089920000000001
0.00050381 ,32.24384
0.00026254 ,16.802560000000003
0.00077048 ,49.31072
0.0001522 ,9.7408
0.00020162 ,12.90368
8.52454414e-05 ,5.4557082496
7.1779083e-05 ,4.593861312
0.00040486 ,25.91104
0.00062051 ,39.71264
9.88047484e-06 ,0.6323503897600001
0.00035048 ,22.43072
0.00044621 ,28.55744
0.00039614 ,25.352960000000003
9.94468926e-05 ,6.3646011264
0.0007427 ,47.5328
0.00050886 ,32.56704
0.00067708 ,43.33312
0.00045565 ,29.1616
0.00071496 ,45.75744
5.02356344e-05 ,3.2150806016
0.00074019 ,47.37216
0.00044628 ,28.56192
0.00019195 ,12.2848
0.00074904 ,47.938559999999995
0.00035722 ,22.86208
9.68209474e-05 ,6.196540633600001
0.00022035 ,14.1024
0.00061668 ,39.46752
0.00049322 ,31.566080000000003
0.00025189 ,16.12096
0.00068076 ,43.56864
0.00065948 ,42.206720000000004
0.0003545 ,22.688000000000002
0.00056685 ,36.278400000000005
0.00075336 ,48.21504
0.00033136 ,21.20704
9.11547634e-05 ,5.833904857599999
0.00010583 ,6.773119999999999
0.00035711 ,22.85504
0.00047919 ,30.66816
0.00020644 ,13.21216
4.33578473e-05 ,2.7749022271999997
0.00069479 ,44.46656
0.00029052 ,18.59328
0.00047156 ,30.17984
