SubstitutionRate,Theta
0.00032772 ,20.974079999999997
4.73614419e-05 ,3.0311322816
0.00019289 ,12.34496
9.42576973e-05 ,6.0324926272
0.00020006 ,12.80384
0.00050824 ,32.527359999999994
9.68018987e-06 ,0.6195321516800001
0.00076636 ,49.047039999999996
0.00030719 ,19.66016
0.00017682 ,11.31648
5.32839608e-05 ,3.4101734911999997
5.43769909e-05 ,3.4801274176000003
0.00070514 ,45.128960000000006
0.0005195 ,33.248
0.0004443 ,28.435200000000002
8.82048583e-05 ,5.6451109312000005
0.00036337 ,23.25568
0.00049229 ,31.50656
0.00011394 ,7.29216
0.00018386 ,11.76704
0.00042986 ,27.51104
1.71186499e-05 ,1.0955935936
0.00059799 ,38.27136
0.00051411 ,32.903040000000004
3.61486023e-06 ,0.23135105471999998
0.00068 ,43.52
0.00069376 ,44.400639999999996
0.00055821 ,35.72544
0.00047739 ,30.552960000000002
0.00039719 ,25.420160000000003
0.00013974 ,8.943359999999998
0.00057794 ,36.98816
0.00050816 ,32.52224
0.00021665 ,13.8656
0.00015467 ,9.898880000000002
7.13865478e-05 ,4.5687390592
0.0004126 ,26.406399999999998
0.00077837 ,49.81568
0.00061819 ,39.56416
0.00075178 ,48.11391999999999
0.00033874 ,21.679360000000003
0.00062125 ,39.76
0.00018137 ,11.60768
0.00027766 ,17.77024
0.00022798 ,14.59072
0.00064203 ,41.089920000000006
0.00019161 ,12.263039999999998
0.00011036 ,7.063039999999999
0.00060581 ,38.771840000000005
2.50264666e-05 ,1.6016938624000001
0.00073761 ,47.20703999999999
0.00012331 ,7.891840000000001
0.00056721 ,36.30144
0.00065605 ,41.9872
0.00077709 ,49.733760000000004
0.0005466 ,34.9824
0.00048946 ,31.32544
0.00051014 ,32.648959999999995
0.0001176 ,7.5264
0.0001931 ,12.3584
0.00056021 ,35.85344
5.82875261e-06 ,0.37304016704
0.00016346 ,10.46144
8.88216504e-05 ,5.6845856256
0.00038343 ,24.539519999999996
0.00073933 ,47.31712
0.00035318 ,22.603519999999996
0.00023083 ,14.773119999999999
5.86885106e-05 ,3.7560646784
0.00011095 ,7.1008000000000004
0.0006745 ,43.168
0.00066279 ,42.41856
0.00026013 ,16.648320000000002
0.00020532 ,13.140479999999998
0.00076007 ,48.644479999999994
0.00070965 ,45.4176
0.00035946 ,23.00544
0.00063941 ,40.92224
0.00055829 ,35.730560000000004
0.00045295 ,28.988799999999998
0.00047601 ,30.464640000000003
0.0001419 ,9.081600000000002
0.00044593 ,28.53952
0.00018343 ,11.739519999999999
0.00020758 ,13.28512
0.00041988 ,26.872320000000002
0.00018225 ,11.664000000000001
4.1636042e-05 ,2.6647066880000003
0.00054476 ,34.86464
0.00012449 ,7.96736
6.56414683e-05 ,4.2010539712
0.00038398 ,24.57472
0.00040142 ,25.69088
0.00029285 ,18.7424
0.0004116 ,26.342399999999998
0.0007592 ,48.5888
0.00067352 ,43.10528000000001
4.77504763e-05 ,3.0560304832000003
0.00036447 ,23.32608
0.00070138 ,44.88832000000001
0.00044964 ,28.776960000000003
0.00020489 ,13.112960000000001
1.26283569e-05 ,0.8082148416
0.00065215 ,41.7376
0.00039279 ,25.138560000000002
0.00067887 ,43.447680000000005
0.00054712 ,35.01568
0.00064117 ,41.03488
0.00040209 ,25.73376
0.00052825 ,33.808
0.00018739 ,11.992960000000002
0.00014524 ,9.29536
0.00014868 ,9.515519999999999
0.00035956 ,23.011839999999996
6.07667223e-06 ,0.38890702272
0.00058449 ,37.40736
5.00414051e-05 ,3.2026499263999995
7.62742873e-05 ,4.8815543872
0.00066896 ,42.81344
0.00071514 ,45.76895999999999
0.00035244 ,22.55616
0.00019061 ,12.199039999999998
6.11683195e-05 ,3.914772448
0.00032663 ,20.90432
0.00025392 ,16.25088
0.00028718 ,18.37952
0.00028689 ,18.36096
0.0004515 ,28.896
0.00067341 ,43.09824
0.00076878 ,49.20192
0.00077196 ,49.40544
0.00030548 ,19.550720000000002
0.00070443 ,45.08352000000001
8.33051487e-05 ,5.3315295168
0.00065885 ,42.166399999999996
0.00073079 ,46.77056
1.34155758e-05 ,0.8585968512
3.79593108e-05 ,2.4293958912000004
4.16492681e-05 ,2.6655531584
0.00046705 ,29.891199999999998
0.00040555 ,25.9552
0.00036955 ,23.651200000000003
0.00015278 ,9.777920000000002
0.00075929 ,48.59456
0.00043189 ,27.64096
5.60112431e-05 ,3.5847195584000002
0.00069095 ,44.2208
0.00069447 ,44.446079999999995
0.00074661 ,47.78304
0.00068585 ,43.894400000000005
0.0003896 ,24.9344
0.0005143 ,32.9152
